prefix,P@20,P@40,P@60
fhy,0.9133333295583725,0.8816666642824809,0.8555555527408918
jx,0.7142857126891613,0.5857142859271595,0.5119047601308141
kx,0.15000000223517418,0.08750000223517418,0.05833333544433117
mh,0.875,0.8374999995742526,0.807142857994352
nm,0.9233333329359691,0.9066666682561239,0.8711111128330231
sjz,0.9700000007947286,0.9633333325386048,0.9477777759234111
sy,0.8099999984105428,0.7983333309491475,0.7422222296396891
tsg,0.8799999932448069,0.8216666618982951,0.7822222193082173
ty,0.9321428537368774,0.8875000051089695,0.8523809569222587
yf,0.6214285758989198,0.5107142781572682,0.45952381300074713
yk,0.5,0.3499999865889549,0.2750000059604645
zx,0.8928571407284055,0.8785714336803981,0.8488095274993351
